index;raw;decoding;original_shape;RandomResizedCrop;RandomHorizontalFlip;ToTensor;Normalize;
0;462687;1886241;(1024, 614);150561;150561;602145;602145;
1;395615;2359329;(1024, 768);150561;150561;602145;602145;
2;596268;2359329;(1024, 768);150561;150561;602145;602145;
3;223841;2110497;(1024, 687);150561;150561;602145;602145;
4;206196;3145761;(1024, 1024);150561;150561;602145;602145;
5;46032;1769505;(576, 1024);150561;150561;602145;602145;
6;415563;2359329;(1024, 768);150561;150561;602145;602145;
7;145839;2359329;(1024, 768);150561;150561;602145;602145;
8;408135;2098209;(683, 1024);150561;150561;602145;602145;
9;865295;2088993;(1024, 680);150561;150561;602145;602145;
10;171762;2359329;(1024, 768);150561;150561;602145;602145;
11;213315;2359329;(1024, 768);150561;150561;602145;602145;
12;647265;2082849;(1024, 678);150561;150561;602145;602145;
13;207250;2088993;(1024, 680);150561;150561;602145;602145;
14;430978;2104353;(1024, 685);150561;150561;602145;602145;
15;247750;2150433;(1024, 700);150561;150561;602145;602145;
16;69954;2095137;(682, 1024);150561;150561;602145;602145;
17;320389;2359329;(1024, 768);150561;150561;602145;602145;
18;257445;2104353;(685, 1024);150561;150561;602145;602145;
19;90497;2095137;(1024, 682);150561;150561;602145;602145;
20;175962;2104353;(1024, 685);150561;150561;602145;602145;
21;452159;2359329;(1024, 768);150561;150561;602145;602145;
22;387690;2092065;(1024, 681);150561;150561;602145;602145;
23;847106;2359329;(1024, 768);150561;150561;602145;602145;
24;169338;2359329;(1024, 768);150561;150561;602145;602145;
25;182396;1840161;(599, 1024);150561;150561;602145;602145;
26;248633;2359329;(1024, 768);150561;150561;602145;602145;
27;558388;2098209;(1024, 683);150561;150561;602145;602145;
28;342884;2098209;(683, 1024);150561;150561;602145;602145;
29;342115;2878497;(1024, 937);150561;150561;602145;602145;
30;355811;2095137;(1024, 682);150561;150561;602145;602145;
31;545389;2098209;(1024, 683);150561;150561;602145;602145;
32;301578;2359329;(1024, 768);150561;150561;602145;602145;
33;298700;2098209;(683, 1024);150561;150561;602145;602145;
34;291424;2070561;(1024, 674);150561;150561;602145;602145;
35;242010;2359329;(1024, 768);150561;150561;602145;602145;
36;117079;2359329;(768, 1024);150561;150561;602145;602145;
37;80424;1769505;(1024, 576);150561;150561;602145;602145;
38;197026;3145761;(1024, 1024);150561;150561;602145;602145;
39;210824;3118113;(1024, 1015);150561;150561;602145;602145;
40;255600;2359329;(768, 1024);150561;150561;602145;602145;
41;791074;2098209;(683, 1024);150561;150561;602145;602145;
42;219632;2098209;(1024, 683);150561;150561;602145;602145;
43;201352;2098209;(1024, 683);150561;150561;602145;602145;
44;305355;1769505;(1024, 576);150561;150561;602145;602145;
45;91541;2359329;(1024, 768);150561;150561;602145;602145;
46;150019;2359329;(768, 1024);150561;150561;602145;602145;
47;289155;2359329;(1024, 768);150561;150561;602145;602145;
48;274178;2359329;(768, 1024);150561;150561;602145;602145;
49;162730;2359329;(1024, 768);150561;150561;602145;602145;
50;335351;2261025;(736, 1024);150561;150561;602145;602145;
51;592079;2107425;(1024, 686);150561;150561;602145;602145;
52;583518;2359329;(1024, 768);150561;150561;602145;602145;
53;508870;2433057;(1024, 792);150561;150561;602145;602145;
54;425539;2098209;(1024, 683);150561;150561;602145;602145;
55;355382;2359329;(1024, 768);150561;150561;602145;602145;
56;129879;1766433;(1024, 575);150561;150561;602145;602145;
57;170122;1772577;(1024, 577);150561;150561;602145;602145;
58;296221;2098209;(1024, 683);150561;150561;602145;602145;
59;315110;3145761;(1024, 1024);150561;150561;602145;602145;
60;123858;2144289;(1024, 698);150561;150561;602145;602145;
61;142392;2098209;(1024, 683);150561;150561;602145;602145;
62;179970;2359329;(1024, 768);150561;150561;602145;602145;
63;284037;2233377;(727, 1024);150561;150561;602145;602145;
64;213588;2359329;(1024, 768);150561;150561;602145;602145;
65;226898;3145761;(1024, 1024);150561;150561;602145;602145;
66;269901;2092065;(1024, 681);150561;150561;602145;602145;
67;61169;1766433;(1024, 575);150561;150561;602145;602145;
68;209830;3145761;(1024, 1024);150561;150561;602145;602145;
69;78276;1966113;(1024, 640);150561;150561;602145;602145;
70;259835;2359329;(768, 1024);150561;150561;602145;602145;
71;518487;2359329;(1024, 768);150561;150561;602145;602145;
72;29303;2476065;(1024, 806);150561;150561;602145;602145;
73;73551;2359329;(1024, 768);150561;150561;602145;602145;
74;274042;2092065;(681, 1024);150561;150561;602145;602145;
75;303202;2359329;(1024, 768);150561;150561;602145;602145;
76;658876;2098209;(683, 1024);150561;150561;602145;602145;
77;302755;2104353;(1024, 685);150561;150561;602145;602145;
78;211440;2107425;(686, 1024);150561;150561;602145;602145;
79;299594;2359329;(1024, 768);150561;150561;602145;602145;
80;107201;1972257;(642, 1024);150561;150561;602145;602145;
81;548742;2359329;(768, 1024);150561;150561;602145;602145;
82;908126;2214945;(1024, 721);150561;150561;602145;602145;
83;173696;2516001;(1024, 819);150561;150561;602145;602145;
84;241085;2359329;(768, 1024);150561;150561;602145;602145;
85;565311;2101281;(1024, 684);150561;150561;602145;602145;
86;399562;2088993;(1024, 680);150561;150561;602145;602145;
87;297510;2359329;(1024, 768);150561;150561;602145;602145;
88;135638;2359329;(768, 1024);150561;150561;602145;602145;
89;376402;2098209;(1024, 683);150561;150561;602145;602145;
90;75438;1863969;(809, 768);150561;150561;602145;602145;
91;84768;1769505;(768, 768);150561;150561;602145;602145;
92;112619;2359329;(1024, 768);150561;150561;602145;602145;
93;337385;2359329;(1024, 768);150561;150561;602145;602145;
94;60452;1769505;(1024, 576);150561;150561;602145;602145;
95;212920;2098209;(1024, 683);150561;150561;602145;602145;
96;90318;2039841;(1024, 664);150561;150561;602145;602145;
97;534855;2095137;(682, 1024);150561;150561;602145;602145;
98;174116;3142689;(1024, 1023);150561;150561;602145;602145;
99;81752;2359329;(1024, 768);150561;150561;602145;602145;
100;481407;1972257;(1024, 642);150561;150561;602145;602145;
101;723664;2030625;(1024, 661);150561;150561;602145;602145;
102;64099;2423841;(789, 1024);150561;150561;602145;602145;
103;153866;2359329;(1024, 768);150561;150561;602145;602145;
104;563790;2368545;(771, 1024);150561;150561;602145;602145;
105;345000;1772577;(1024, 577);150561;150561;602145;602145;
